method,seed,score,seconds,evaluations,feasible
GA sigma x1,17000,63.820190783849284,0.02160790300001736,21216,1
GA sigma x1,17001,7.649025250938469,0.01625358100000085,21216,1
GA sigma x1,17002,464.64716478129344,0.016265319000012823,21216,1
GA sigma x1,17003,366.5316178051431,0.01669533700004422,21216,1
GA sigma x1,17004,731.99059462392,0.01627700599999571,21216,1
GA sigma x1,17005,974.4381637655912,0.020161765000011656,21216,1
GA sigma x1,17006,11.120855758458916,0.01636481799999956,21216,1
GA sigma x1,17007,2.461186598788476,0.01615206799999669,21216,1
GA sigma x1,17008,150.19570213632656,0.015972268000041367,21216,1
GA sigma x1,17009,461.1748424174057,0.01787722599999597,21216,1
GA sigma x1,17010,174.23860726970395,0.016379511000025104,21216,1
GA sigma x1,17011,0.014258471172285186,0.01730572500002836,21216,1
GA sigma x1,17012,795.6006086280361,0.016620654000007562,21216,1
GA sigma x1,17013,302.64979136624993,0.016559230999973806,21216,1
GA sigma x1,17014,19.89398783532534,0.016159149000031903,21216,1
GA sigma x1,17015,217.4664717459837,0.01598275300000296,21216,1
GA sigma x1,17016,197.19781298882367,0.016140570999993997,21216,1
GA sigma x1,17017,32.38937473797237,0.016461304000017662,21216,1
GA sigma x1,17018,622.6746957551426,0.016135533000010582,21216,1
GA sigma x1,17019,767.487847690345,0.016230576999987534,21216,1
GA sigma x3,17000,181.17326707513752,0.017210922000003848,21216,1
GA sigma x3,17001,74.34296066065238,0.016113871000015934,21216,1
GA sigma x3,17002,785.9003060489729,0.017275269999970533,21216,1
GA sigma x3,17003,468.4362923904137,0.017020536000018183,21216,1
GA sigma x3,17004,3207.549861237777,0.016319259999988844,21216,1
GA sigma x3,17005,1445.0614139538536,0.016199139999969248,21216,1
GA sigma x3,17006,8.938883842570846,0.016663749000031203,21216,1
GA sigma x3,17007,959.4311375107172,0.016721386000028815,21216,1
GA sigma x3,17008,17.1460075140412,0.016178959000001214,21216,1
GA sigma x3,17009,630.651881839472,0.016131918000041878,21216,1
GA sigma x3,17010,628.0655091461571,0.01629436299998588,21216,1
GA sigma x3,17011,332.06664371478814,0.016942658999994364,21216,1
GA sigma x3,17012,1531.2519309859695,0.016690659000005326,21216,1
GA sigma x3,17013,90.73220769212854,0.016666532999977335,21216,1
GA sigma x3,17014,72.9108768344152,0.016039990000024318,21216,1
GA sigma x3,17015,4.2430859127057685,0.016237246999992294,21216,1
GA sigma x3,17016,125.61284865934441,0.016522025999961443,21216,1
GA sigma x3,17017,0.6856709527700219,0.01644543100002238,21216,1
GA sigma x3,17018,972.0908290711978,0.016882437999981903,21216,1
GA sigma x3,17019,230.49288105384642,0.016246581000018523,21216,1
Random,17000,2927613550.7171183,0.00301198500000055,21216,1
Random,17001,1038448105.9145418,0.003068600000005972,21216,1
Random,17002,382242303.8230474,0.0029955400000289956,21216,1
Random,17003,1723051432.6712263,0.00299782399997639,21216,1
Random,17004,1880002128.2569473,0.003002491000017926,21216,1
Random,17005,2810759792.9925976,0.0030658750000043256,21216,1
Random,17006,2473175693.097014,0.002953176000005442,21216,1
Random,17007,2998854844.2090297,0.0029670669999859456,21216,1
Random,17008,1991243154.167239,0.003412538000020504,21216,1
Random,17009,2134009152.510067,0.0029964920000224993,21216,1
Random,17010,2106050450.6797676,0.0029781040000216308,21216,1
Random,17011,1478171480.0599866,0.002962050000007821,21216,1
Random,17012,2801724963.485826,0.0029638929999578068,21216,1
Random,17013,2214346987.0005326,0.0030811489999678088,21216,1
Random,17014,2036423011.4013143,0.003014307999990251,21216,1
Random,17015,961131766.7147661,0.002965114000005542,21216,1
Random,17016,3086016568.341969,0.0029697319999968386,21216,1
Random,17017,1758123694.193394,0.0029917339999769865,21216,1
Random,17018,1884043096.859484,0.0029816489999916485,21216,1
Random,17019,2332163721.7855234,0.0029681180000125096,21216,1
